index,qPCR_neg_ct-1,qPCR_neg_ct-2,ZG-1,ZG-10,ZG-11,ZG-12,ZG-13,ZG-14,ZG-15,ZG-16,ZG-17,ZG-18,ZG-19,ZG-2,ZG-20,ZG-21,ZG-22,ZG-23,ZG-24,ZG-25,ZG-26,ZG-27,ZG-28,ZG-29,ZG-3,ZG-30,ZG-31,ZG-32,ZG-33,ZG-34,ZG-35,ZG-36,ZG-37,ZG-38,ZG-39,ZG-4,ZG-40,ZG-41,ZG-42,ZG-43,ZG-44,ZG-45,ZG-46,ZG-47,ZG-48,ZG-49,ZG-5,ZG-50,ZG-51,ZG-52,ZG-6,ZG-7,ZG-8,ZG-9,zymo_pos_ct
D_0__Bacteria;D_1__Firmicutes;D_2__Erysipelotrichia;D_3__Erysipelotrichales,0,0,0,0,27,0,0,0,30,60,0,0,0,0,0,0,35,0,9,56,46,44,0,0,65,2,56,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,47,0,0,0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales,0,0,0,0,0,45,0,0,0,171,0,0,72,10,0,104,0,0,0,83,197,216,5,209,59,10,67,0,0,93,0,0,0,0,71,0,0,33,0,0,0,0,0,0,0,0,0,0,55,28,0,71,35,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__CCD24,0,0,0,0,0,0,0,0,0,0,0,0,9,69,0,0,39,0,0,0,0,2,99,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Solirubrobacterales,6,0,0,19,0,25,0,0,26,3,0,0,0,25,0,0,0,40,21,0,0,21,161,92,0,218,19,0,0,204,0,2,0,0,0,9,0,0,0,2,0,0,0,3,0,34,0,0,0,81,22,24,23,0,10
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6;__,3,22,0,228,41,23,0,0,0,0,60,38,27,217,0,80,0,46,0,0,0,35,262,155,40,289,36,22,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,144,53,56,49,83,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales,0,0,646,0,0,20,67,0,0,0,0,59,0,34,0,0,0,12,41,0,46,0,34,53,42,0,64,0,6,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,3,14,0,0,59,43,37,70,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 5;__,0,0,0,23,0,0,0,0,95,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales,66,0,350,251,18,8,11,0,90,0,66,14,114,98,0,46,57,9,0,110,10,45,32,161,35,65,13,0,20,182,0,2,0,0,0,77,0,0,0,0,0,0,0,4,0,16,118,4,45,164,95,3,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Gaiellales,9,9,0,49,41,18,13,0,25,13,24,0,13,125,0,135,0,0,0,0,0,0,258,61,0,131,39,45,30,259,0,0,0,0,0,38,0,0,0,0,0,0,0,16,0,12,0,0,0,79,32,42,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Gammaproteobacteria Incertae Sedis,0,0,0,0,0,2,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,82,0,0,45,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Corynebacteriales,0,50,0,6,26,0,0,0,0,0,0,0,66,0,32,0,0,0,0,25,0,33,13,92,52,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,42,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Solibacterales,2,0,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,97,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,39,3,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Patescibacteria;D_2__Saccharimonadia;D_3__Saccharimonadales,0,0,0,0,62,4,0,0,0,2,0,0,0,8,0,0,0,0,6,0,62,78,0,25,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,27,0,0
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales,0,0,0,0,0,19,0,21,0,21,0,59,0,0,59,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,10,17,35,0,0,0,0,107,0,0,0,0,0,0,11,0,0,0,0,0,21,0,0,153
D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Microtrichales,0,0,0,0,46,0,0,0,0,0,0,0,38,31,0,40,0,0,11,0,0,0,112,57,0,92,0,0,0,142,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,19,0,0,0,0,0
D_0__Bacteria;D_1__Gemmatimonadetes;D_2__Longimicrobia;D_3__Longimicrobiales,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
D_0__Bacteria;D_1__Rokubacteria;D_2__NC10;D_3__Rokubacteriales,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,32,0,0,17,0,0,0,57,25,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia;D_3__Thermomicrobiales,0,0,0,0,0,0,6,0,0,0,0,0,70,0,16,28,0,0,0,0,0,0,22,93,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Propionibacteriales,0,0,4,0,24,0,0,0,0,0,12,0,2,91,0,0,0,0,0,0,73,0,20,44,55,0,0,0,59,189,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,3,0,63,41,90,6,20,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__Ktedonobacteria;D_3__Ktedonobacterales,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,9,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__IMCC26256,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Elusimicrobia;D_2__Elusimicrobia;D_3__Lineage IV,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6;D_3__uncultured Acidobacteriaceae bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales,0,0,0,83,52,0,2,0,65,34,62,73,18,89,14,71,0,0,0,45,0,10,133,130,0,51,0,18,0,36,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,81,0,0,4,0,0,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales,0,0,16,0,0,0,0,0,0,0,0,0,0,12,0,0,0,58,0,0,103,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Actinomarinales,0,0,0,0,0,2,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0
D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Gemmatales,0,0,0,0,0,0,71,0,0,0,0,23,0,5,0,70,0,0,0,0,0,0,2,168,0,11,0,27,0,85,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,3,19,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__JG30-KF-CM66;D_3__uncultured bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4);D_3__11-24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,49,63,0,50,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Reyranellales,0,0,0,25,0,3,0,0,0,0,0,0,0,0,21,0,0,0,0,26,0,0,0,0,0,5,33,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,63,0,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Xanthomonadales,0,0,49,115,0,3,0,0,0,0,0,13,0,8,0,70,0,23,0,0,0,0,0,108,0,15,0,0,0,18,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,21,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Anaerolineales,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,62,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Elusimicrobia;D_2__Lineage IIb;D_3__uncultured bacterium,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Aeromonadales,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Thermoanaerobaculia;D_3__Thermoanaerobaculales,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,52,0,0,0,0,0,0,12,56,0,12,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0
D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae;D_3__Tepidisphaerales,0,0,0,0,0,0,0,0,0,0,60,0,0,22,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,49,0,23,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia;D_3__Chloroflexales,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,60,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Pirellulales,4,0,0,0,0,0,2,0,0,0,0,0,0,18,0,26,0,0,0,0,0,0,28,0,40,35,0,0,0,27,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,31,60,59,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4);D_3__Blastocatellales,0,0,0,0,16,2,46,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,60,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6;D_3__uncultured Acidobacteria bacterium,0,0,0,0,0,0,58,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6;D_3__uncultured bacterium,0,0,0,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales,57,0,0,0,0,2,0,11,0,0,0,66,57,23,0,0,0,0,0,0,84,0,10,86,0,6,49,0,0,102,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,48,0,0,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__KD4-96;D_3__uncultured bacterium,0,0,0,50,0,0,8,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,15,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales,0,0,0,19,0,0,0,0,4,0,0,0,0,0,36,0,0,0,0,0,12,0,0,0,0,14,36,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Streptosporangiales,0,0,0,103,0,0,0,0,0,0,34,0,41,0,0,0,0,0,0,0,0,0,9,0,6,3,0,40,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Kineosporiales,3,0,26,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Melainabacteria;D_3__Obscuribacterales,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,40,0,0,0,0,81,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales,0,0,0,0,0,0,44,0,0,0,0,0,0,15,0,0,0,0,0,50,77,0,6,0,0,8,0,39,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 17;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,52,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Pseudonocardiales,0,4,0,0,118,0,0,0,0,0,0,0,0,34,0,0,27,0,0,0,0,0,42,12,0,55,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,48,0,0,0,0,0
D_0__Bacteria;D_1__Planctomycetes;D_2__OM190;D_3__uncultured bacterium,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,6,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__Gitt-GS-136;D_3__uncultured bacterium,0,0,0,45,53,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,73,37,0,19,0,16,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__Dehalococcoidia;D_3__S085,0,0,0,0,0,3,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0
D_0__Bacteria;D_1__Latescibacteria;D_2__Latescibacteria;D_3__Latescibacterales,0,0,0,52,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__uncultured,0,0,0,0,52,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,9,0,0,0,48,31,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,30,0,0,56,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Streptomycetales,0,0,0,0,0,0,16,5,0,0,0,0,23,0,0,0,0,0,0,3,0,0,0,37,0,52,0,0,0,15,0,0,0,0,0,16,6,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__RCP2-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__PLTA13,0,0,0,51,0,0,12,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,60,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Rubrobacteria;D_3__Rubrobacterales,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrososphaerales,0,0,0,25,0,2,0,0,0,0,0,0,51,0,0,21,0,0,0,0,0,0,22,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micromonosporales,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,44,51,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Steroidobacterales,0,0,0,28,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,19,51,0,28,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
D_0__Bacteria;D_1__Elusimicrobia;D_2__Lineage IIa;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Planctomycetales,0,2,0,0,0,0,0,0,16,0,2,0,0,2,0,25,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4);D_3__Pyrinomonadales,0,0,0,48,0,2,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,33,0,0
D_0__Bacteria;D_1__Nitrospirae;D_2__Nitrospira;D_3__Nitrospirales,0,0,0,0,0,0,0,0,0,0,0,0,34,25,0,48,0,0,0,0,0,17,36,17,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Firmicutes;D_2__Limnochordia;D_3__Limnochordales,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,3,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__MB-A2-108;D_3__metagenome,0,0,0,47,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,57,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Micropepsales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__TK10;D_3__uncultured Chloroflexi bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Pedosphaerales,0,0,0,28,0,0,0,0,0,0,0,0,0,7,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Dongiales,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,25,0,45,0,0,33,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
